                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5461,                0.96826,                0.99611,                0.87323,                0.74498,                0.82278,                0.48367,                  1.397,                0.85033,                0.98716,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5591,                 0.9626,                 1.0059,                 0.8792,                0.69605,                0.81684,                0.48109,                 1.4014,                0.90014,                 0.9905,               0.000614,               0.000614,               0.000614
                     37,                 1.5329,                0.92287,                 1.0166,                 0.8753,                0.75412,                0.82903,                0.45901,                 1.4808,                0.88271,                 1.0048,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.5031,                 0.9064,                  1.003,                0.88665,                0.75729,                0.83626,                0.48708,                 1.3827,                0.84132,                 0.9804,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5034,                0.91067,                  1.005,                0.87166,                0.73318,                0.80976,                0.44501,                 1.4707,                0.87487,                  1.002,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.5059,                0.89966,                0.99357,                0.89416,                0.77332,                0.84427,                0.48765,                 1.3848,                 0.8303,                 0.9808,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.4448,                0.86261,                 1.0031,                 0.8743,                0.77568,                0.85229,                0.50902,                 1.3518,                 0.8649,                0.97449,               0.000416,               0.000416,               0.000416
                     42,                 1.4468,                0.84936,                 1.0153,                0.87944,                0.76978,                0.83367,                0.50329,                 1.3626,                0.82136,                0.97266,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.4349,                 0.8269,                 1.0046,                0.87281,                0.74535,                0.83251,                0.47944,                 1.4102,                0.84934,                0.98664,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.4168,                0.81426,                0.99586,                0.88256,                0.77332,                0.84799,                0.50446,                 1.3574,                0.80823,                0.97166,              0.0002972,              0.0002972,              0.0002972
                     45,                   1.41,                0.81116,                 1.0019,                0.88287,                0.77922,                0.84974,                0.50417,                  1.367,                0.80345,                0.97571,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.3857,                0.80276,                0.98727,                0.86971,                0.78809,                0.85212,                0.50726,                 1.3554,                 0.7904,                0.97209,               0.000218,               0.000218,               0.000218
                     47,                 1.4182,                0.81055,                0.99392,                  0.867,                0.79103,                0.85136,                0.50046,                 1.3487,                 0.7922,                0.96826,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.4006,                 0.7993,                0.99691,                 0.8533,                0.78985,                 0.8503,                0.49997,                 1.3725,                0.79379,                0.97364,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.3862,                0.80301,                 0.9803,                0.89964,                0.76033,                0.85473,                0.50661,                 1.3461,                0.79037,                0.96519,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.3721,                0.77267,                0.98327,                0.89653,                0.77744,                0.86293,                0.51535,                 1.3389,                0.78065,                0.96369,               5.96e-05,               5.96e-05,               5.96e-05
