                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3556,                 5.0665,                 1.8223,                0.00782,                0.55372,                0.00716,                0.00208,                 2.4393,                  4.261,                 1.3513,                0.00048,                0.00048,                0.00048
                      2,                 2.4789,                 2.7719,                  1.307,                0.62933,                0.07617,                0.19443,                0.04987,                  2.037,                 3.4403,                 1.2548,              0.0009606,              0.0009606,              0.0009606
                      3,                 2.2854,                 2.2606,                 1.2453,                0.49926,                0.12831,                0.23372,                0.08486,                 1.9342,                 2.7875,                 1.1833,              0.0014214,              0.0014214,              0.0014214
                      4,                 2.1555,                 1.9953,                 1.1954,                0.60941,                0.31868,                0.37054,                0.15366,                 2.0341,                  2.309,                 1.2416,              0.0018624,              0.0018624,              0.0018624
                      5,                 2.0699,                 1.8281,                 1.1841,                0.65326,                0.52893,                0.56275,                0.25618,                 1.8463,                 1.5881,                 1.1933,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.0227,                  1.655,                 1.1736,                0.68017,                0.54233,                0.57535,                0.27108,                 1.8489,                 1.4193,                 1.2022,               0.001802,               0.001802,               0.001802
                      7,                 1.9533,                 1.5432,                 1.1361,                0.67185,                0.60331,                  0.643,                0.30966,                 1.7532,                 1.4863,                 1.1745,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.9031,                 1.4381,                 1.1274,                0.70197,                0.65053,                0.68701,                0.35365,                  1.666,                 1.3014,                 1.1202,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.8648,                 1.3831,                 1.1189,                0.75293,                0.64581,                0.70563,                0.36627,                 1.6606,                 1.2425,                 1.1143,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.8409,                 1.3451,                 1.1071,                0.79358,                0.60368,                0.69168,                 0.3518,                 1.6698,                 1.1589,                  1.098,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.8229,                 1.3159,                 1.1097,                0.76499,                0.62692,                0.68626,                0.36041,                 1.6786,                 1.1227,                 1.1224,               0.001604,               0.001604,               0.001604
                     12,                 1.8271,                 1.3358,                 1.0948,                0.79971,                0.68241,                0.75327,                0.40104,                 1.6096,                 1.1176,                 1.0897,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.7993,                  1.263,                 1.0928,                0.75331,                0.67296,                 0.7194,                0.38109,                 1.6297,                 1.1537,                 1.1004,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.7569,                  1.217,                 1.0587,                0.77787,                0.68005,                0.72647,                0.39125,                 1.5941,                 1.0579,                 1.0838,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.7905,                 1.2276,                 1.0942,                0.81969,                0.65053,                0.73862,                0.40635,                 1.5785,                 1.0425,                  1.079,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.754,                  1.214,                  1.089,                0.79114,                0.67081,                0.73599,                0.39363,                 1.6039,                 1.0345,                 1.0698,               0.001406,               0.001406,               0.001406
                     17,                 1.7196,                 1.1527,                 1.0684,                0.79362,                0.65762,                0.73222,                0.37677,                 1.6216,                 1.0838,                 1.0753,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.738,                 1.1386,                  1.087,                0.79267,                0.65762,                0.71234,                0.36415,                 1.6542,                 1.0411,                 1.0828,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.6687,                 1.1122,                 1.0609,                0.82928,                 0.6222,                0.70657,                0.34695,                 1.7606,                  1.093,                 1.1255,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.6998,                 1.1341,                 1.0528,                0.84685,                0.68713,                0.74838,                0.41606,                 1.5644,                 1.0279,                 1.0573,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.7128,                 1.1298,                 1.0537,                0.84752,                0.68249,                0.76515,                0.42665,                 1.5707,                0.97845,                 1.0732,               0.001208,               0.001208,               0.001208
                     22,                  1.683,                  1.101,                 1.0436,                0.84672,                0.68949,                0.76835,                0.43516,                 1.5073,                0.95038,                 1.0414,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.6636,                 1.1055,                 1.0426,                0.85058,                0.69895,                0.78841,                0.41592,                 1.5689,                 0.9647,                 1.0566,              0.0011288,              0.0011288,              0.0011288
