                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.7052,                 1.0944,                 1.0322,                0.86705,                 0.7438,                0.80481,                0.44817,                 1.4979,                 1.0048,                 1.0309,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.6512,                 1.0612,                 1.0502,                0.84289,                 0.7497,                0.80512,                0.45622,                 1.4696,                0.89598,                 1.0359,              0.0010496,              0.0010496,              0.0010496
                     26,                  1.631,                 1.0263,                  1.044,                 0.8661,                0.74734,                0.81449,                0.45249,                 1.4857,                0.89601,                 1.0302,                0.00101,                0.00101,                0.00101
                     27,                 1.6306,                 1.0467,                  1.041,                0.83458,                0.71429,                0.78062,                 0.4005,                 1.6089,                 1.0836,                 1.0727,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.6164,                 1.0103,                 1.0415,                0.87139,                0.71194,                0.79944,                0.44701,                 1.4533,                0.92711,                 1.0199,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.6258,                 1.0263,                 1.0286,                0.84647,                0.72491,                0.78367,                0.42188,                 1.4917,                0.94422,                 1.0314,              0.0008912,              0.0008912,              0.0008912
                     30,                  1.576,                0.98832,                 1.0158,                0.85873,                0.73554,                0.80297,                0.45783,                 1.4231,                0.90794,                 1.0026,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.5803,                  1.014,                 1.0019,                0.86494,                0.67532,                0.77162,                0.41499,                 1.5264,                0.91769,                 1.0408,               0.000812,               0.000812,               0.000812
                     32,                 1.5772,                0.98333,                 1.0167,                0.87879,                0.72727,                0.81045,                0.46731,                 1.4214,                0.89821,                 1.0047,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.6014,                 1.0089,                 1.0193,                0.88434,                0.72373,                0.82035,                0.47205,                 1.4151,                0.88527,                 1.0044,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.5633,                0.95947,                0.99489,                0.86042,                0.70598,                0.79178,                0.44678,                 1.4495,                0.88291,                 1.0111,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.5409,                0.95534,                0.99896,                0.85043,                0.72609,                0.80626,                0.47522,                 1.3837,                0.84181,                0.99526,              0.0006536,              0.0006536,              0.0006536
                     36,                  1.525,                0.91757,                0.99875,                0.85297,                0.75344,                 0.8184,                0.47438,                 1.3966,                0.83842,                0.99541,               0.000614,               0.000614,               0.000614
                     37,                  1.554,                0.94524,                  1.017,                0.85748,                0.76714,                0.82654,                0.47341,                 1.4053,                0.84738,                 1.0045,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.5378,                0.92647,                 1.0073,                0.87002,                0.75325,                0.81335,                0.45304,                  1.472,                 0.8855,                 1.0281,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5058,                0.89643,                 0.9953,                0.87956,                0.75874,                0.83489,                0.48939,                  1.414,                0.82634,                 1.0067,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.5268,                0.92403,                0.99649,                0.87806,                0.75089,                0.82588,                0.48616,                 1.3859,                0.81076,                0.99756,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.4424,                0.86459,                 1.0078,                0.88584,                0.75121,                0.83536,                0.47785,                 1.4451,                0.84446,                 1.0128,               0.000416,               0.000416,               0.000416
                     42,                 1.4498,                0.86482,                 1.0296,                0.87443,                0.73318,                0.82638,                 0.4554,                 1.4789,                0.84039,                 1.0158,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.4236,                0.83585,                 1.0112,                0.86291,                0.76545,                0.83339,                 0.4716,                 1.4316,                0.81215,                 1.0085,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.4211,                0.82943,                 1.0042,                0.90261,                0.76596,                0.84902,                0.48802,                 1.4039,                0.80093,                0.99944,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.4205,                0.82379,                 1.0087,                0.89341,                0.77186,                0.85343,                0.49799,                 1.3761,                0.79375,                0.99322,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.4164,                0.81112,                0.99582,                0.89174,                0.76623,                0.84741,                0.50177,                 1.3515,                0.78282,                0.98263,               0.000218,               0.000218,               0.000218
                     47,                 1.4032,                0.80732,                0.98758,                0.88633,                0.75561,                0.84066,                0.47932,                 1.4418,                0.81263,                 1.0142,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.4179,                0.82824,                 1.0013,                0.90777,                0.74371,                0.84856,                0.50866,                 1.3658,                0.78179,                0.98761,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.3974,                0.79571,                0.99033,                0.90091,                0.74063,                0.84638,                0.50201,                 1.3711,                0.78673,                0.98767,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                  1.385,                0.79533,                0.99241,                0.87181,                0.77888,                0.85084,                0.51289,                 1.3421,                0.77281,                0.97794,               5.96e-05,               5.96e-05,               5.96e-05
