                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5803,                 5.6581,                 2.1019,                0.00455,                0.32231,                0.00324,                0.00085,                 2.8629,                 4.6476,                 1.4016,                0.00024,                0.00024,                0.00024
                      2,                 2.7871,                 3.5447,                 1.4467,                0.00812,                0.57497,                0.00724,                0.00208,                 2.2416,                 6.2362,                 1.2718,             0.00048586,             0.00048586,             0.00048586
                      3,                 2.4408,                 2.7789,                 1.2815,                0.00933,                0.66116,                0.01783,                0.00543,                  2.098,                 3.8201,                 1.1929,             0.00071701,             0.00071701,             0.00071701
                      4,                 2.2811,                 2.4033,                 1.2238,                0.33811,                0.41558,                0.23133,                0.06567,                 1.9346,                 3.1783,                 1.1521,             0.00093345,             0.00093345,             0.00093345
                      5,                 2.1064,                  2.047,                   1.18,                0.46013,                0.13577,                0.22261,                0.06411,                 2.0585,                 2.9468,                 1.1977,              0.0011352,              0.0011352,              0.0011352
                      6,                 2.0517,                 1.7943,                 1.1872,                0.67414,                0.16765,                0.26814,                0.09057,                 2.3403,                 2.5236,                 1.5046,              0.0013222,              0.0013222,              0.0013222
                      7,                 2.0106,                  1.698,                  1.158,                0.71227,                0.44717,                0.54219,                0.25047,                 1.8149,                 1.9283,                 1.1482,              0.0014945,              0.0014945,              0.0014945
                      8,                 1.9693,                 1.6079,                 1.1482,                0.49279,                0.40024,                0.40278,                 0.1809,                 1.8457,                 2.0516,                 1.1414,               0.001604,               0.001604,               0.001604
                      9,                 1.9409,                 1.5635,                 1.1435,                0.62969,                0.50993,                0.51269,                0.21972,                 1.9482,                 1.6772,                 1.1687,              0.0015474,              0.0015474,              0.0015474
                     10,                 1.9565,                 1.5266,                 1.1231,                0.64461,                0.53365,                0.57269,                0.28914,                 1.7728,                 1.7059,                  1.126,              0.0014909,              0.0014909,              0.0014909
                     11,                   1.92,                 1.4631,                 1.1262,                0.72227,                0.58951,                0.64818,                0.34256,                 1.7294,                 1.3169,                 1.1373,              0.0014343,              0.0014343,              0.0014343
                     12,                 1.8463,                 1.3095,                 1.1332,                0.69718,                0.50557,                 0.5712,                0.30894,                 1.6912,                 1.6039,                 1.1076,              0.0013777,              0.0013777,              0.0013777
                     13,                 1.8154,                 1.2819,                 1.1043,                0.78591,                0.58508,                0.66661,                0.35263,                 1.6739,                 1.2103,                 1.0962,              0.0013211,              0.0013211,              0.0013211
                     14,                 1.7747,                 1.2551,                  1.082,                0.74615,                0.56789,                0.62591,                0.29705,                 1.8832,                 1.2588,                 1.2181,              0.0012646,              0.0012646,              0.0012646
                     15,                 1.7799,                 1.2514,                 1.0865,                0.69811,                0.56514,                0.59753,                0.28406,                 1.9004,                 1.2347,                 1.2015,               0.001208,               0.001208,               0.001208
                     16,                  1.803,                 1.2287,                 1.1146,                0.75604,                0.64109,                0.70202,                0.37937,                 1.5901,                 1.1262,                 1.0612,              0.0011514,              0.0011514,              0.0011514
                     17,                 1.7488,                 1.2125,                 1.0617,                0.78742,                0.68241,                0.74254,                0.40115,                 1.5715,                 1.1344,                 1.0526,              0.0010949,              0.0010949,              0.0010949
                     18,                 1.7334,                 1.1834,                 1.0591,                0.83581,                0.69185,                0.76972,                0.41916,                 1.5767,                   1.14,                  1.048,              0.0010383,              0.0010383,              0.0010383
                     19,                 1.6616,                 1.1057,                 1.0559,                 0.7842,                0.66929,                0.74076,                0.39116,                 1.5839,                 1.0053,                 1.0416,             0.00098171,             0.00098171,             0.00098171
                     20,                 1.6831,                 1.0851,                 1.0502,                0.84728,                0.67887,                0.76729,                  0.431,                 1.5146,                  1.044,                  1.029,             0.00092514,             0.00092514,             0.00092514
                     21,                 1.7176,                 1.1319,                 1.0573,                0.78655,                0.66565,                0.72527,                0.36446,                 1.6578,                 1.0151,                  1.069,             0.00086857,             0.00086857,             0.00086857
                     22,                 1.6509,                 1.0573,                 1.0445,                0.82652,                0.71999,                0.78522,                0.43593,                 1.4895,                 1.0213,                 1.0206,               0.000812,               0.000812,               0.000812
                     23,                 1.6637,                 1.0714,                 1.0383,                0.80388,                0.67269,                0.75317,                0.43264,                 1.4937,                 1.0157,                 1.0226,             0.00075543,             0.00075543,             0.00075543
                     24,                 1.6046,                 1.0337,                 1.0282,                0.86793,                0.67769,                0.78539,                0.44977,                 1.4773,                0.93762,                 1.0068,             0.00069886,             0.00069886,             0.00069886
                     25,                 1.6327,                 1.0182,                 1.0322,                0.84854,                0.72097,                0.79761,                0.45199,                 1.4719,                0.91606,                 1.0106,             0.00064229,             0.00064229,             0.00064229
                     26,                 1.5429,                0.97422,                 1.0521,                0.86623,                0.74498,                0.81842,                0.46203,                   1.49,                0.99783,                 1.0147,             0.00058571,             0.00058571,             0.00058571
                     27,                 1.5112,                0.92284,                  1.044,                0.87719,                0.74026,                0.81289,                0.45848,                 1.4851,                 0.9102,                 1.0247,             0.00052914,             0.00052914,             0.00052914
                     28,                 1.5068,                0.92825,                 1.0278,                0.82528,                0.70248,                0.76539,                0.40944,                 1.5359,                 1.0459,                 1.0327,             0.00047257,             0.00047257,             0.00047257
                     29,                 1.4994,                0.89375,                 1.0185,                0.85701,                0.72886,                0.81073,                0.47414,                 1.4223,                0.92435,                0.99052,               0.000416,               0.000416,               0.000416
                     30,                 1.4788,                0.90991,                 1.0163,                0.88146,                0.76151,                 0.8257,                0.46381,                  1.429,                0.87062,                0.99649,             0.00035943,             0.00035943,             0.00035943
                     31,                 1.4629,                0.88107,                  1.024,                0.89552,                0.74616,                0.83576,                0.48036,                 1.4122,                0.84163,                0.98192,             0.00030286,             0.00030286,             0.00030286
                     32,                 1.4526,                0.88337,                 1.0094,                 0.8895,                0.73908,                0.82359,                0.46673,                 1.4308,                0.85243,                0.99075,             0.00024629,             0.00024629,             0.00024629
                     33,                  1.457,                0.85265,                 1.0169,                0.89538,                0.73672,                0.82043,                0.47571,                 1.4013,                0.83745,                0.98122,             0.00018971,             0.00018971,             0.00018971
                     34,                 1.4452,                0.88889,                 1.0134,                0.89544,                0.75797,                0.83616,                0.48802,                 1.3957,                0.81944,                0.98118,             0.00013314,             0.00013314,             0.00013314
                     35,                 1.4427,                0.85899,                 1.0053,                0.90006,                0.75325,                0.83579,                0.48663,                 1.3946,                0.81733,                0.98179,             7.6571e-05,             7.6571e-05,             7.6571e-05
